Phase,Sub-step,Primary user,Other actors,Theme,Opportunity title,Evidence,Notes
1. Exploration,1.a Preparation,Merchant,Adyen Sales,,,,"Pre-Adyen research, no setting interaction"
1. Exploration,1.b Account Setup & Decision,Merchant,"Adyen Sales, IM",T1. Scalable Configuration Foundation,O1. Flexible configuration scoping,"Account structure forces manual overhead for franchises, regional groups, multi-brand setups.",Account structure rigidity baked in here
2. Test & Integration,2.a Initial Ordering,Merchant,"Adyen Sales, Warehouse",,,,Hardware logistics
2. Test & Integration,2.b Test Terminal Delivery,Merchant,"Warehouse, Courier",,,,Hardware arrives at merchant
2. Test & Integration,2.c Test Configuration,Merchant,"IM, Support",T1. Scalable Configuration Foundation,O3. Settings transparency & override management,73% override at device level; inheritance logic is opaque; no overview of what's set where.,"First encounter with 1,000+ settings"
2. Test & Integration,2.c Test Configuration,Merchant,"IM, Support",T3. Self-service and Clarity,O7. Setting taxonomy & shared language,No shared definitions; misleading names; unclear merchant-facing vs internal classification.,Misread names land here
2. Test & Integration,2.c Test Configuration,Merchant,"IM, Support",T1. Scalable Configuration Foundation,O10. Configuration lifecycle controls,"No scheduling, no TEST↔LIVE parity, no rollback for setting changes.",No TEST→LIVE promotion
2. Test & Integration,2.d Testing,Merchant,"IM, Support",T1. Scalable Configuration Foundation,O3. Settings transparency & override management,73% override at device level; inheritance logic is opaque; no overview of what's set where.,Override patterns emerge
2. Test & Integration,2.d Testing,Merchant,"IM, Support",T1. Scalable Configuration Foundation,O10. Configuration lifecycle controls,"No scheduling, no TEST↔LIVE parity, no rollback for setting changes.",No rollback capability
3. Migration to LIVE,3.a Ordering & Delivery,Merchant,"Warehouse, Courier",,,,Logistics
3. Migration to LIVE,3.b Terminal Delivery,Merchant,"Warehouse, Courier",,,,Bulk hardware arrives
3. Migration to LIVE,3.c Initial Configuration ⭐,Merchant,"IM, Support",T1. Scalable Configuration Foundation,O1. Flexible configuration scoping,"Account structure forces manual overhead for franchises, regional groups, multi-brand setups.",HIGHEST LEVERAGE — 5 opps converge
3. Migration to LIVE,3.c Initial Configuration ⭐,Merchant,"IM, Support",T1. Scalable Configuration Foundation,O2. Scalable deployment of settings & assets,No bulk apply across merchant accounts/stores; deploying configs and assets is manual at fleet scale.,HIGHEST LEVERAGE — 5 opps converge
3. Migration to LIVE,3.c Initial Configuration ⭐,Merchant,"IM, Support",T1. Scalable Configuration Foundation,O3. Settings transparency & override management,73% override at device level; inheritance logic is opaque; no overview of what's set where.,HIGHEST LEVERAGE — 5 opps converge
3. Migration to LIVE,3.c Initial Configuration ⭐,Merchant,"IM, Support",T3. Self-service and Clarity,O7. Setting taxonomy & shared language,No shared definitions; misleading names; unclear merchant-facing vs internal classification.,HIGHEST LEVERAGE — 5 opps converge
3. Migration to LIVE,3.c Initial Configuration ⭐,Merchant,"IM, Support",T1. Scalable Configuration Foundation,O10. Configuration lifecycle controls,"No scheduling, no TEST↔LIVE parity, no rollback for setting changes.",HIGHEST LEVERAGE — 5 opps converge
4. BAU / Troubleshooting,4.a Routine Configuration,Merchant,Store staff,T1. Scalable Configuration Foundation,O2. Scalable deployment of settings & assets,No bulk apply across merchant accounts/stores; deploying configs and assets is manual at fleet scale.,Edits compound
4. BAU / Troubleshooting,4.a Routine Configuration,Merchant,Store staff,T1. Scalable Configuration Foundation,O3. Settings transparency & override management,73% override at device level; inheritance logic is opaque; no overview of what's set where.,
4. BAU / Troubleshooting,4.a Routine Configuration,Merchant,Store staff,T3. Self-service and Clarity,O6. Merchant self-service & role-based access,Many settings require Adyen support intervention; access controls within merchant org are missing.,
4. BAU / Troubleshooting,4.a Routine Configuration,Merchant,Store staff,T3. Self-service and Clarity,O7. Setting taxonomy & shared language,No shared definitions; misleading names; unclear merchant-facing vs internal classification.,
4. BAU / Troubleshooting,4.b First Troubleshooting ⭐,Merchant,"Store staff, Support",T1. Scalable Configuration Foundation,O3. Settings transparency & override management,73% override at device level; inheritance logic is opaque; no overview of what's set where.,Where 15% support target lives
4. BAU / Troubleshooting,4.b First Troubleshooting ⭐,Merchant,"Store staff, Support",T3. Self-service and Clarity,O6. Merchant self-service & role-based access,Many settings require Adyen support intervention; access controls within merchant org are missing.,Where 15% support target lives
4. BAU / Troubleshooting,4.b First Troubleshooting ⭐,Merchant,"Store staff, Support",T3. Self-service and Clarity,O7. Setting taxonomy & shared language,No shared definitions; misleading names; unclear merchant-facing vs internal classification.,Where 15% support target lives
4. BAU / Troubleshooting,4.b First Troubleshooting ⭐,Merchant,"Store staff, Support",T1. Scalable Configuration Foundation,O10. Configuration lifecycle controls,"No scheduling, no TEST↔LIVE parity, no rollback for setting changes.",Where 15% support target lives
5. Terminal Replacements,5.a Malfunction & Replacement Ordering,Merchant,"Support, Warehouse",T1. Scalable Configuration Foundation,O10. Configuration lifecycle controls,"No scheduling, no TEST↔LIVE parity, no rollback for setting changes.",Version history matters
5. Terminal Replacements,5.b Setting Up Replacements in Store,Merchant,"Store staff, Warehouse",T1. Scalable Configuration Foundation,O2. Scalable deployment of settings & assets,No bulk apply across merchant accounts/stores; deploying configs and assets is manual at fleet scale.,Replacement config inheritance
